date,player_name,team_name,market_name,sportsbook,bet_points,Over,Under
2025-03-22,Nimari Burnett,Michigan,Player Points,BetOnline,8.5,-105.0,-123.0
2025-03-22,Nimari Burnett,Michigan,Player Points,Fliff,8.5,-115.0,-140.0
2025-03-22,Nimari Burnett,Michigan,Player Rebounds,BetOnline,3.5,-125.0,-103.0
2025-03-22,Nimari Burnett,Michigan,Player Rebounds,Fliff,3.5,-140.0,-110.0
2025-03-22,Pharrel Payne,Texas A&M,Player Points,BetOnline,9.5,-111.0,-116.0
2025-03-22,Pharrel Payne,Texas A&M,Player Points,FanDuel,9.5,-102.0,-125.0
2025-03-22,Pharrel Payne,Texas A&M,Player Points,Fliff,9.5,-125.0,-125.0
2025-03-22,Pharrel Payne,Texas A&M,Player Rebounds,BetOnline,4.5,-129.0,100.0
2025-03-22,Pharrel Payne,Texas A&M,Player Rebounds,FanDuel,4.5,-118.0,-118.0
2025-03-22,Pharrel Payne,Texas A&M,Player Rebounds,Fliff,4.5,-145.0,-110.0
2025-03-22,Roddy Gayle Jr.,Michigan,Player Points,BetOnline,7.5,-111.0,-116.0
2025-03-22,Roddy Gayle Jr.,Michigan,Player Points,Fliff,7.5,-125.0,-125.0
2025-03-22,Rubin Jones,Michigan,Player Assists,BetOnline,1.5,-113.0,-113.0
2025-03-22,Rubin Jones,Michigan,Player Rebounds,BetOnline,2.5,-149.0,114.0
2025-03-22,Tre Donaldson,Michigan,Player Assists,BetOnline,4.5,-103.0,-125.0
2025-03-22,Tre Donaldson,Michigan,Player Assists,FanDuel,4.5,106.0,-148.0
2025-03-22,Tre Donaldson,Michigan,Player Assists,Fliff,4.5,-120.0,-130.0
2025-03-22,Tre Donaldson,Michigan,Player Points,BetOnline,11.5,-109.0,-117.0
2025-03-22,Tre Donaldson,Michigan,Player Points,FanDuel,10.5,-125.0,-105.0
2025-03-22,Tre Donaldson,Michigan,Player Points,Fliff,11.5,-120.0,-130.0
2025-03-22,Tre Donaldson,Michigan,Player Rebounds,BetOnline,3.5,-120.0,-107.0
2025-03-22,Tre Donaldson,Michigan,Player Rebounds,Fliff,3.5,-135.0,-115.0
2025-03-22,Vladislav Goldin,Michigan,Player Assists,BetOnline,1.5,177.0,-238.0
2025-03-22,Vladislav Goldin,Michigan,Player Assists,Fliff,1.5,160.0,-255.0
2025-03-22,Vladislav Goldin,Michigan,Player Points,BetOnline,17.5,100.0,-129.0
2025-03-22,Vladislav Goldin,Michigan,Player Points,FanDuel,17.5,-110.0,-120.0
2025-03-22,Vladislav Goldin,Michigan,Player Rebounds,BetOnline,7.5,102.0,-133.0
2025-03-22,Vladislav Goldin,Michigan,Player Rebounds,FanDuel,7.5,-106.0,-122.0
2025-03-22,Vladislav Goldin,Michigan,Player Rebounds,Fliff,7.5,-105.0,-150.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Assists,BetOnline,3.5,-140.0,108.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Assists,FanDuel,3.5,-126.0,-108.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Assists,Fliff,3.5,-165.0,105.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Points,BetOnline,17.5,-106.0,-121.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Points,Fliff,17.5,-115.0,-135.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Rebounds,BetOnline,3.5,-108.0,-119.0
2025-03-22,Wade Taylor IV,Texas A&M,Player Rebounds,Fliff,3.5,-115.0,-135.0
2025-03-22,Will Tschetter,Michigan,Player Points,BetOnline,6.5,106.0,-136.0
2025-03-22,Will Tschetter,Michigan,Player Points,Fliff,6.5,-105.0,-150.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Assists,BetOnline,1.5,125.0,-163.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Assists,Fliff,1.5,115.0,-185.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Points,BetOnline,12.5,-108.0,-119.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Points,FanDuel,12.5,-120.0,-110.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Points,Fliff,11.5,-130.0,-120.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Rebounds,BetOnline,3.5,-125.0,-103.0
2025-03-22,Zhuric Phelps,Texas A&M,Player Rebounds,FanDuel,3.5,-122.0,-112.0
