player,team,weighted_pts,kalman_pts,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Jalen Quinn,Loyola Chicago,6.48201546552155,3.761951131529259,70.86443853044804,106.27201405854092,102.40284578861488,70.6482645802506,108.2434778520032,104.63098174940924
Jerrell Bellamy,Troy,3.3581111718296395,1.048593340905462,69.01351359626945,106.69012109637856,100.56798187283673,81.6295298837936,123.7953708388456,98.6567433788276
Carter Gilmore,Wisconsin,4.19211764495144,4.638123534580688,84.290088341479,122.38570981126742,96.09440303906264,68.04359868958828,111.99547283962468,108.93240306351544
Sadiku Ibine Ayo,St. John's,2.4123666324670188,3.631943089086086,80.95707286650152,112.5317080421349,89.09607923550938,66.31915281300935,112.13466752069452,108.3775700102496
Antallah Sandlin'El,Robert Morris,3.5179568624745983,2.7048095016047364,72.29726062538877,105.87178226864891,104.97346357173288,94.97085467346454,127.61322067865144,96.32221651819388
Caleb Grill,Missouri,13.980241855809656,12.512658928334282,69.7807176658624,126.98832274830158,100.77946813227815,63.31230729490869,112.51859605745508,98.41920903124044
Mason Madsen,Utah,5.515030834164147,2.7468271192762987,78.62751383872683,112.51489510001656,100.42930067070536,77.37237067881064,115.97924242486911,105.24542990101416
Darius Johnson,UCF,17.720502109628534,22.70997103259049,81.65978070824424,115.44436953037156,103.60166387715516,78.80614703231113,115.97667469463744,107.94629820100948
Javohn Garcia,McNeese St.,12.766445186421745,12.402521937605526,63.12284290289789,113.39512240091196,100.69811802591698,69.79359018910506,118.16763290231056,94.90662442866729
Elijah Malone,Colorado,6.857400181646526,7.323703704254932,68.26321911954969,108.4810224281263,98.90056860888797,71.8907534893275,118.56429469319116,102.48298079639724
Isaiah Ihnen,Liberty,9.392108561720288,9.663954113420973,67.9679731717988,113.03729698303373,97.95669328167683,69.75458133775491,115.11625343624422,97.20320435235934
Sincere Parker,McNeese St.,11.25564177864334,11.93249958266952,63.12284290289789,113.39512240091196,100.69811802591698,69.79359018910506,118.16763290231056,94.90662442866729
Aidan McCool,Louisville,0.0471510932393806,0.043277302759361,75.03858713710342,118.19803663651209,94.72856463692486,71.80088090609053,117.29923145242525,98.24732544937127
Andrew Morgan,Nebraska,8.383704175083933,8.933793002505041,74.63788757355313,111.81902008411204,99.20625374465656,74.37260020935767,113.19734004741936,100.79723503284944
Dakota Leffew,Georgia,8.50083296095756,6.338327259927306,72.76216758519284,115.89521298908342,95.76888953832604,76.91563542227722,123.28893196089729,96.37714125764526
Rollie Worster,Nebraska,6.399122756724887,3.987461770864805,74.63788757355313,111.81902008411204,99.20625374465656,74.37260020935767,113.19734004741936,100.79723503284944
Andre Screen,Butler,7.802405601895162,5.269167598045212,77.37237067881064,115.97924242486911,105.24542990101416,78.62751383872683,112.51489510001656,100.42930067070536
Rylan Houck,Lipscomb,0.7404972480957229,0.1727483645828955,64.74703200475528,110.6913808908922,104.00046009647237,78.32496731194287,118.86851419056173,92.32257996353874
Samson Aletan,Yale,7.361096181046455,4.585820952388456,65.8438910463545,113.85459227896564,103.7177776148286,74.51066156409115,115.6324054123989,93.08490895026358
Harry Wessels,Saint Mary's,5.474478750297788,6.60490109579323,69.8800680514906,114.9327006189022,92.75301462007953,66.13162182917932,118.61621582443104,101.1515710764358
Jerry Huang,Utah,0.510237395172845,0.5022647416003635,78.62751383872683,112.51489510001656,100.42930067070536,77.37237067881064,115.97924242486911,105.24542990101416
William Kyle III,UCLA,2.732698354050578,3.1082619292561917,76.22848237448902,117.83476207588438,95.23373792255587,71.79546339356294,122.5580102348526,105.16697290603376
Isaiah Rivera,DePaul,10.914443162235326,13.740161027231832,65.70701296662813,109.25469795933682,104.0404620369917,72.99037267739298,111.55548706851484,95.33247646460744
Brett Decker Jr.,Liberty,2.407096732225239,3.4539573257874494,67.9679731717988,113.03729698303373,97.95669328167683,69.75458133775491,115.11625343624422,97.20320435235934
