player,team,weighted_trb,kalman_trb,team_proj,team_oe,team_de,opp_proj,opp_oe,opp_de
Ofure Ujadughele,UC Irvine,1.962900565342245,1.2924510998526195,72.9024612628943,107.73820500100769,96.145856468267,66.22327173025538,107.41906494989134,105.83055891133957
Tomas Thrastarson,Washington St.,3.096568965354379,3.884400397374222,77.83505568610285,112.82818053675705,106.41688388520411,78.94953667992594,107.23954462844632,99.68089181758565
Tyzhaun Claude,North Carolina,1.478610199067549,1.399485158198302,78.17908818955715,119.85623620127171,99.75571842568333,78.55415915389612,117.19119550593491,97.07190808733507
Dallas Hobbs,Mount St. Mary's,3.667512776451156,3.4810270238759315,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Patrick Haigh,Mount St. Mary's,0.4131358851779055,0.2249998113987154,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Jakai Robinson,Bryant,3.389213628712791,3.9924815682684063,66.64137023199562,105.65649593428,105.29041057202863,84.66844524517909,116.91982296062965,91.7071291165965
Jedy Cordilia,Mount St. Mary's,7.205782412822889,7.799273281625156,56.79389027581281,100.38743810030104,107.62373686926672,85.52284607075907,128.16785047977055,91.24882272478835
Michael Eley,Tulane,0.3648763756828651,0.3933451601970581,72.82829349617158,108.34023253814968,106.09154230774746,80.97181991827608,116.87075297163364,102.6435049604288
Logan Stephens,Tulane,0.8142398562227202,0.7866712176806894,72.82829349617158,108.34023253814968,106.09154230774746,80.97181991827608,116.87075297163364,102.6435049604288
Jordan Leaks,Norfolk St.,0.4288388133506983,0.2878347274563209,64.53303717225337,106.18462088444946,108.98658883187836,89.73462038000493,127.50495327449586,94.11537363886367
Christian Ings,Norfolk St.,2.223113059952455,4.088281841273736,64.53303717225337,106.18462088444946,108.98658883187836,89.73462038000493,127.50495327449586,94.11537363886367
Ryan Beasley,San Francisco,2.3286601985039432,1.5695694887078668,75.1563036092224,112.4749015779892,96.50170380541476,67.21646057944285,106.3200806131976,102.3267510335381
Ja'Vier Francis,Houston,4.503041803390454,5.727660945072003,72.08779656080009,124.56624670517893,87.41072774798968,65.6072348933571,124.18842956347908,95.75368780028576
Sin'Cere McMahon,Norfolk St.,0.8066291520345812,0.5732747035270178,64.53303717225337,106.18462088444946,108.98658883187836,89.73462038000493,127.50495327449586,94.11537363886367
Jackson Porch,Troy,0.163633038928372,0.0870993313777391,69.14449338236723,106.77555631293777,100.3428711687423,81.37321521410263,123.53845858085026,98.6490669127
Bishop Boswell,Tennessee,0.5861061039317277,0.6054076862840418,65.10358844384135,119.3280077363738,91.4461220830252,62.46554314933086,117.90875372592008,94.17450776686889
Sven Djopmo,Arizona,0.4580148739981736,0.625,92.05099944522944,123.914782109128,96.41312004139668,76.40514305580935,113.81518410362747,106.68887608075008
Drew McKenna,Georgetown,1.1772042351140268,0.8199768244339836,78.94953667992594,107.23954462844632,99.68089181758565,77.83505568610285,112.82818053675705,106.41688388520411
Tyrel Bladen,Norfolk St.,3.0849944684040267,2.896274566622397,64.53303717225337,106.18462088444946,108.98658883187836,89.73462038000493,127.50495327449586,94.11537363886367
Dylan Faulkner,Lipscomb,5.202597139599417,5.410765187725303,64.742648465774,110.59068602488652,104.1112924780701,78.57064477167556,118.94085793680604,92.265745884196
Jalen Myers,Norfolk St.,5.286328810314959,4.472339945756904,64.53303717225337,106.18462088444946,108.98658883187836,89.73462038000493,127.50495327449586,94.11537363886367
Saba Gigiberia,San Francisco,1.8908333807521769,2.1694533077573803,75.1563036092224,112.4749015779892,96.50170380541476,67.21646057944285,106.3200806131976,102.3267510335381
Jackson Francois,Arizona,0.5419851260018264,0.375,92.05099944522944,123.914782109128,96.41312004139668,76.40514305580935,113.81518410362747,106.68887608075008
Jayden Ross,Connecticut,1.3722744163203269,0.2124906371307905,75.14596961806184,121.7293008174899,101.65325643913172,72.98644572679387,117.41920058617484,100.95521662844206
Jackson Cook,Arizona,0.5419851260018264,0.375,92.05099944522944,123.914782109128,96.41312004139668,76.40514305580935,113.81518410362747,106.68887608075008
